time,Avior,Josephine
531,134,28
532,437,41
533,461,134
534,12,377
535,5,236
536,4,99
537,22,272
538,301,142
539,29,178
540,442,99
541,624,394
542,324,251
543,0,324
544,15,323
545,4,402
546,329,50
547,127,33
548,471,15
549,251,104
550,447,313
551,64,207
552,12,239
553,30,465
554,11,280
555,533,130
556,417,12
557,332,58
558,370,23
559,130,13
560,232,180
561,301,495
562,261,335
563,5,293
564,0,91
565,0,48
566,0,52
567,14,504
568,70,136
569,237,15
570,523,86
571,398,96
572,55,0
573,47,24
574,12,316
575,553,175
576,128,481
577,106,492
578,85,337
579,133,57
580,146,130
581,245,79
582,198,82
583,86,494
584,57,78
585,6,19
586,311,41
587,14,12
588,93,39
589,114,744
590,280,136
591,189,41
592,162,19
593,318,94
594,1002,391
595,916,83
596,827,902
597,31,382
598,20,126
599,9,99
600,37,107
601,77,69
602,33,284
603,60,61
604,12,60
605,40,276
606,81,63
607,14,351
608,196,211
609,745,45
610,530,425
611,724,59
612,121,70
613,91,138
614,226,99
615,42,360
616,241,92
617,456,6
618,47,128
619,122,43
620,4,42
621,12,30
622,508,93
623,84,130
624,351,140
625,112,26
626,0,169
627,16,152
628,63,201
629,70,19
630,0,59
631,45,153
632,74,233
633,109,85
634,109,290
635,4,14
636,424,0
637,150,0
638,365,391
639,409,263
640,150,92
641,585,80
642,153,9
643,76,32
644,142,38
645,145,54
646,399,186
647,122,0
648,58,0
649,127,4
650,208,14
651,0,0
652,200,101
653,629,18
654,632,1016
655,309,102
656,180,13
657,396,68
658,73,6
659,313,6
660,540,13
661,147,11
662,34,29
663,95,6
664,77,228
665,329,211
666,39,243
667,115,245
668,103,166
669,219,328
670,165,273
671,414,247
672,607,286
673,372,0
674,358,129
675,276,4
676,5,0
677,0,0
678,6,9
679,0,4
680,0,9
681,0,0
682,0,7
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,4,4
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,9
702,0,0
703,0,4
704,0,0
705,0,0
706,0,16
707,21,4
708,5,0
709,0,0
710,0,62
711,125,0
712,287,5
713,14,6
714,124,16
715,162,0
716,177,54
717,861,329
718,386,408
719,325,418
720,147,152
721,126,94
722,243,80
723,300,55
724,84,250
725,150,230
726,285,19
727,79,289
728,358,312
729,31,275
730,258,114
731,75,43
732,192,185
733,645,26
734,438,26
735,116,54
736,637,389
737,663,319
738,649,789
739,593,330
740,408,405
741,613,304
742,265,291
743,400,22
744,536,9
745,908,787
746,193,234
747,68,359
748,170,305
749,306,223
750,93,55
751,75,25
752,335,142
753,49,68
754,272,367
755,657,267
756,265,52
757,97,115
758,235,134
759,427,121
760,92,110
761,419,36
762,410,17
763,366,21
764,101,19
765,22,0
766,6,0
767,6,0
768,73,12
769,570,0
770,419,10
771,165,0
772,14,0
773,0,4
774,0,4
775,126,6
776,170,0
777,190,0
778,195,0
779,391,0
780,193,0
781,402,0
782,316,0
783,371,0
784,95,8
785,194,0
786,23,0
787,246,9
788,117,0
789,421,72
790,90,9
791,183,291
792,246,289
793,249,25
794,406,126
795,218,0
796,106,504
797,248,201
798,23,14
799,29,13
800,5,44
801,4,15
802,0,0
803,0,22
804,83,26
805,6,14
806,0,0
807,8,38
808,0,0
809,0,4
810,0,5
811,0,14
812,0,71
813,11,18
814,0,0
815,0,5
816,0,19
817,0,0
818,0,16
819,0,10
820,0,0
821,0,0
822,11,0
823,0,0
824,0,0
825,23,0
826,48,7
827,5,0
828,229,0
829,343,14
830,169,4
831,0,0
