time,Persephone,Teres
530,482,505
531,624,159
532,27,116
533,13,619
534,9,340
535,17,404
536,27,0
537,27,6
538,79,0
539,84,0
540,66,0
541,30,0
542,16,259
543,0,132
544,46,338
545,117,354
546,513,976
547,570,154
548,56,459
549,1031,264
550,500,421
551,236,267
552,275,125
553,55,216
554,132,7
555,450,331
556,277,83
557,11,76
558,31,247
559,11,0
560,58,4
561,76,0
562,11,0
563,55,11
564,11,0
565,196,0
566,77,5
567,53,21
568,1200,0
569,888,289
570,23,494
571,10,534
572,226,313
573,66,0
574,401,685
575,168,6
576,331,0
577,401,316
578,554,407
579,464,0
580,719,0
581,463,0
582,605,0
583,1094,138
584,318,0
585,152,124
586,18,4
587,8,165
588,16,178
589,5,6
590,10,115
591,0,0
592,442,290
593,400,283
594,699,115
595,476,0
596,13,213
597,7,4
598,58,4
599,23,98
600,232,29
601,124,27
602,31,286
603,378,171
604,798,416
605,583,224
606,624,556
607,258,133
608,318,46
609,117,11
610,277,0
611,4,282
612,1010,751
613,71,31
614,236,162
615,256,0
616,33,51
617,625,0
618,18,14
619,79,0
620,0,6
621,11,0
622,11,4
623,10,737
624,153,62
625,65,462
626,289,162
627,0,0
628,126,0
629,12,15
630,13,9
631,0,19
632,83,0
633,597,0
634,594,9
635,102,0
636,52,191
637,117,119
638,309,6
639,4,0
640,609,334
641,341,348
642,126,529
643,22,108
644,226,10
645,635,4
646,272,555
647,200,106
648,43,64
649,23,21
650,140,13
651,177,28
652,48,25
653,14,92
654,104,7
655,426,6
656,127,0
657,17,0
658,15,0
659,13,5
660,92,209
661,178,8
662,0,0
663,384,366
664,539,677
665,753,27
666,277,9
667,611,0
668,143,202
669,11,494
670,23,14
671,235,7
672,24,0
673,764,6
674,417,0
675,480,593
676,162,848
677,766,260
678,263,162
679,976,671
680,81,427
681,434,50
682,29,256
683,628,12
684,898,0
685,139,0
686,6,0
687,4,0
688,0,0
689,0,0
690,4,0
691,0,0
692,701,453
693,0,213
694,6,334
695,23,62
696,4,20
697,151,24
698,46,0
699,189,260
700,37,409
701,26,259
702,48,27
703,230,257
704,132,58
705,12,0
706,16,158
707,54,104
708,33,576
709,317,91
710,160,190
711,113,240
712,305,338
713,65,81
714,41,4
715,178,0
716,5,11
717,77,117
718,310,348
719,907,799
720,264,469
721,265,543
722,123,286
723,105,97
724,158,81
725,184,103
726,122,101
727,132,78
728,58,52
729,33,276
730,165,149
731,45,164
732,576,383
733,373,175
734,187,199
735,376,100
736,175,47
737,41,594
738,321,177
739,163,223
740,514,375
741,244,48
742,34,0
743,4,54
744,4,4
745,0,0
746,0,0
747,22,0
748,0,0
749,69,18
750,24,89
751,268,0
752,515,0
753,503,213
754,499,278
755,445,322
756,527,371
757,608,369
758,260,344
759,297,0
760,428,542
761,543,44
762,366,46
763,502,0
764,123,16
765,42,0
766,0,0
767,4,0
768,0,0
769,0,0
770,12,48
771,24,281
772,0,5
773,58,0
774,9,0
775,0,0
776,0,23
777,26,12
778,0,0
779,28,0
780,0,0
781,120,0
782,0,10
783,385,0
784,237,0
785,36,0
786,127,10
787,105,0
788,471,0
789,245,0
790,73,0
791,84,0
792,23,30
793,244,369
794,67,350
795,370,0
796,159,72
797,91,0
798,40,4
799,340,14
800,247,0
801,703,34
802,147,13
803,285,0
804,22,0
805,0,0
806,0,0
807,9,13
808,0,0
809,0,7
810,0,0
811,0,149
812,0,0
813,372,0
814,214,181
815,152,115
816,445,489
817,243,299
818,204,417
819,31,24
820,119,37
821,0,0
822,20,242
823,362,311
824,244,64
825,147,229
826,0,60
827,38,0
828,36,0
829,0,0
830,33,0
831,31,25
832,115,72
833,0,4
834,0,0
835,0,4
836,0,12
837,9,0
838,0,9
839,191,7
840,215,11
841,165,553
842,125,334
843,114,156
844,185,66
845,255,189
846,215,298
847,284,141
848,412,87
849,486,307
850,140,363
851,243,398
852,146,286
853,400,19
854,127,119
855,108,503
856,90,366
857,15,51
858,111,0
859,287,630
860,260,275
861,21,139
862,455,160
863,123,95
864,169,156
865,153,38
866,0,129
867,215,211
868,392,92
869,623,220
870,666,143
871,476,92
872,366,171
873,1076,83
874,404,0
875,250,10
876,209,10
877,143,62
878,221,0
879,193,36
880,208,72
881,21,187
882,0,5
883,0,10
884,9,0
885,0,0
886,0,0
887,26,9
888,0,0
889,178,0
890,54,0
891,13,0
892,8,0
893,94,29
894,272,16
895,368,369
896,432,6
897,210,0
898,5,25
899,6,0
900,10,0
901,25,6
902,8,500
903,33,54
904,105,47
905,196,34
906,352,213
907,186,352
908,459,47
909,121,67
910,133,0
911,6,13
912,27,31
913,30,0
914,17,6
915,24,4
916,63,6
917,243,19
918,20,130
919,82,83
920,113,43
921,0,365
922,404,186
923,202,10
924,444,11
925,50,4
926,237,0
927,57,19
928,130,279
929,336,81
930,0,288
931,0,115
932,0,208
933,116,53
934,0,0
935,0,330
936,411,128
937,656,151
938,377,135
939,671,123
940,247,72
941,5,280
942,464,90
943,261,29
944,463,14
945,460,8
946,27,142
947,98,639
948,459,192
949,113,427
950,542,8
951,100,103
952,30,29
953,22,0
954,16,5
955,20,67
956,177,4
957,23,162
958,7,38
959,98,0
960,112,0
961,156,103
962,1132,0
963,13,168
964,54,28
965,332,70
966,113,227
967,831,379
968,672,556
969,435,10
970,163,11
971,461,17
972,587,16
973,332,20
974,377,44
975,485,216
976,371,6
977,169,154
978,227,423
979,117,486
980,288,213
981,265,171
982,270,408
983,108,70
984,461,315
985,431,553
986,911,422
987,30,0
988,95,147
989,168,147
990,75,128
991,178,0
992,380,34
993,491,23
994,640,792
995,179,0
996,40,57
997,398,11
998,527,844
999,698,337
1000,187,356
1001,22,12
1002,131,0
1003,17,0
1004,462,10
1005,271,0
1006,180,12
1007,208,114
1008,275,5
1009,269,12
1010,284,0
1011,315,15
1012,878,104
1013,555,511
1014,561,401
1015,65,176
1016,180,31
1017,20,157
1018,120,54
1019,225,103
1020,162,18
1021,93,0
1022,394,48
1023,85,676
1024,44,264
1025,100,15
1026,0,0
1027,9,68
1028,327,0
1029,248,0
1030,468,0
1031,621,0
1032,1022,276
1033,792,326
1034,535,1003
1035,288,846
1036,26,228
1037,123,328
1038,37,147
1039,184,245
1040,244,443
1041,60,20
1042,26,331
1043,110,5
1044,122,189
1045,297,75
1046,125,67
1047,372,260
1048,220,262
1049,210,28
1050,370,7
1051,84,742
1052,110,193
1053,648,111
1054,22,55
1055,74,158
1056,196,190
1057,217,193
1058,45,311
1059,366,414
1060,295,297
1061,495,721
1062,268,21
1063,297,12
1064,359,28
1065,372,199
1066,120,233
1067,815,424
1068,343,347
1069,344,119
1070,455,38
1071,798,222
1072,57,5
1073,377,325
1074,329,337
1075,928,739
1076,387,171
1077,189,50
1078,0,0
1079,0,15
1080,47,62
1081,62,94
1082,61,25
1083,198,11
1084,0,4
1085,198,118
1086,256,187
1087,346,638
1088,71,565
1089,441,321
1090,114,0
1091,538,0
1092,213,32
1093,746,77
1094,335,252
1095,939,528
1096,14,358
1097,214,0
1098,111,37
1099,1442,596
1100,694,616
1101,583,47
1102,492,96
1103,326,17
1104,285,111
1105,614,332
1106,769,312
1107,610,800
1108,464,406
1109,409,220
1110,231,23
1111,166,206
1112,215,0
1113,433,0
1114,343,0
1115,334,0
1116,42,140
1117,207,0
1118,545,33
1119,575,203
1120,606,329
1121,807,325
1122,177,126
1123,193,51
1124,11,0
1125,4,0
1126,6,0
1127,170,0
1128,0,0
1129,14,16
1130,0,7
1131,0,8
1132,0,0
1133,0,0
1134,10,222
1135,529,125
1136,357,264
1137,338,354
1138,428,67
1139,393,470
1140,389,558
1141,268,508
1142,351,230
1143,361,268
1144,458,273
1145,378,365
1146,296,9
1147,14,4
1148,9,146
1149,5,20
1150,27,0
1151,0,0
1152,0,0
1153,12,17
1154,0,0
1155,14,0
1156,161,208
1157,199,142
1158,12,7
1159,122,0
1160,174,83
1161,644,405
1162,42,0
1163,4,0
1164,0,0
1165,64,4
1166,15,0
1167,0,0
1168,0,0
1169,0,0
1170,0,0
1171,14,31
1172,0,0
1173,0,0
1174,0,0
1175,0,0
1176,0,0
1177,0,0
1178,0,0
1179,0,0
1180,0,0
1181,0,0
1182,0,0
1183,25,0
1184,0,0
1185,0,0
1186,0,0
1187,0,0
1188,0,13
1189,0,0
1190,0,0
1191,32,5
1192,0,0
1193,0,0
1194,10,0
1195,0,0
1196,0,0
1197,0,0
1198,0,0
1199,0,0
1200,0,44
1201,0,0
1202,5,0
1203,0,4
1204,0,4
1205,18,5
1206,7,0
1207,0,0
1208,70,16
1209,0,0
1210,0,0
1211,0,0
1212,0,0
1213,6,4
1214,363,10
1215,4,112
1216,25,86
1217,0,0
1218,0,0
1219,17,4
1220,0,0
1221,0,0
1222,0,0
1223,0,0
1224,0,0
1225,0,0
1226,0,0
1227,0,0
1228,0,0
1229,0,0
1230,0,0
1231,68,0
1232,0,0
1233,0,0
1234,0,0
1235,0,13
1236,20,0
1237,0,0
1238,0,0
1239,0,0
1240,0,0
1241,28,0
1242,49,355
1243,13,125
1244,137,0
1245,6,205
1246,0,83
1247,0,12
1248,0,0
1249,0,0
1250,11,0
1251,10,0
1252,0,0
1253,0,20
1254,0,0
1255,0,0
1256,7,0
1257,5,13
1258,12,0
1259,0,0
1260,0,0
1261,0,0
1262,0,0
1263,13,0
1264,7,0
1265,71,0
1266,17,0
1267,0,0
1268,0,0
1269,0,0
1270,6,0
1271,20,0
1272,176,0
1273,16,0
1274,0,0
1275,0,0
1276,0,0
1277,0,0
1278,0,0
1279,0,0
1280,0,0
1281,0,0
1282,0,147
1283,0,0
1284,0,0
1285,0,0
1286,13,0
1287,0,0
1288,0,0
1289,0,0
1290,0,0
1291,0,0
1292,0,0
1293,0,0
1294,0,0
1295,7,4
1296,0,5
1297,0,0
1298,48,4
1299,0,0
1300,0,0
1301,0,0
1302,0,0
1303,0,0
1304,0,0
1305,0,0
1306,0,0
1307,0,0
1308,0,0
1309,8,319
1310,8,184
1311,0,0
1312,0,0
1313,0,0
1314,0,0
1315,0,0
1316,0,0
1317,0,0
1318,0,0
1319,0,17
1320,0,0
1321,0,0
1322,0,0
1323,0,0
1324,0,0
1325,0,0
1326,0,0
1327,0,0
1328,0,0
1329,0,0
1330,0,0
1331,0,0
1332,0,0
1333,0,0
1334,0,0
1335,0,0
1336,4,0
1337,88,0
1338,32,0
1339,0,0
1340,0,0
1341,0,0
1342,0,0
1343,0,0
1344,0,0
1345,0,0
1346,0,0
1347,0,0
1348,0,0
1349,0,0
1350,0,10
1351,0,23
1352,0,0
1353,0,0
1354,0,0
1355,0,0
1356,29,0
1357,0,0
1358,0,0
1359,0,0
1360,0,19
1361,5,45
1362,0,0
1363,0,0
1364,0,0
1365,0,0
1366,0,0
1367,0,0
1368,0,0
1369,0,0
1370,0,0
1371,0,0
1372,0,0
1373,0,0
1374,0,0
1375,0,0
1376,0,0
1377,0,0
1378,0,0
1379,4,0
1380,0,0
1381,0,0
1382,0,0
1383,0,0
1384,21,0
1385,282,291
1386,19,106
1387,0,9
1388,5,0
1389,11,0
1390,0,0
1391,0,0
1392,0,0
1393,0,0
1394,0,0
1395,0,0
1396,0,0
1397,0,0
1398,0,0
1399,0,0
1400,0,0
1401,0,0
1402,0,0
1403,0,0
1404,0,0
1405,0,0
1406,0,0
1407,0,0
1408,0,5
1409,0,0
1410,0,0
1411,0,0
1412,0,0
1413,0,0
1414,8,0
1415,0,0
1416,0,0
1417,0,0
1418,0,0
1419,0,0
1420,9,0
1421,0,0
1422,0,0
1423,0,0
1424,0,0
1425,0,0
1426,8,310
1427,67,74
1428,22,30
1429,14,4
1430,0,0
1431,0,0
1432,0,0
1433,0,0
1434,0,0
1435,0,0
1436,0,0
1437,0,4
1438,0,0
1439,0,0
1440,0,0
1441,15,0
1442,0,0
1443,0,0
1444,0,0
1445,0,0
1446,0,0
1447,0,0
1448,0,0
1449,0,0
1450,0,0
1451,0,0
1452,0,0
1453,0,0
1454,16,0
1455,0,0
1456,0,0
1457,0,0
1458,0,0
1459,0,0
1460,5,0
1461,0,0
1462,0,0
1463,0,0
1464,4,0
1465,0,0
1466,0,0
1467,9,0
1468,0,0
1469,0,0
1470,5,0
1471,0,0
1472,0,0
1473,0,0
1474,0,0
1475,0,0
1476,0,0
1477,0,167
1478,27,63
1479,16,6
1480,22,0
1481,17,0
1482,10,0
1483,7,0
1484,0,0
1485,0,0
1486,0,0
1487,0,0
1488,0,0
1489,0,0
1490,11,0
1491,11,0
1492,11,18
1493,0,0
1494,0,0
1495,0,0
1496,0,0
1497,0,0
1498,0,0
1499,0,0
1500,0,0
1501,9,5
1502,0,21
1503,0,0
1504,0,0
1505,0,0
1506,0,0
1507,0,0
1508,5,60
1509,40,21
1510,0,0
1511,0,0
1512,0,0
1513,0,0
1514,0,0
1515,0,0
1516,0,0
1517,0,0
1518,0,0
1519,0,0
1520,0,0
1521,0,0
1522,0,0
1523,0,0
1524,0,0
1525,0,0
1526,0,0
1527,0,0
1528,0,0
1529,8,65
1530,5,0
1531,0,0
1532,0,0
1533,0,0
1534,0,0
1535,0,0
1536,11,6
1537,11,0
1538,4,0
1539,0,0
1540,0,0
1541,0,0
1542,0,0
1543,0,0
1544,0,0
1545,0,0
1546,0,5
1547,0,5
1548,13,9
1549,25,8
1550,0,4
1551,0,0
1552,0,0
1553,0,0
1554,0,0
1555,0,0
1556,0,0
1557,0,0
1558,0,0
1559,0,0
1560,0,0
1561,0,0
1562,0,0
1563,0,0
1564,0,0
1565,0,0
1566,0,0
1567,0,0
1568,0,0
1569,5,6
1570,0,0
1571,12,0
1572,0,0
1573,0,0
1574,49,0
1575,0,0
1576,0,0
1577,0,0
1578,0,0
1579,0,0
1580,0,0
1581,0,0
1582,0,0
1583,0,0
1584,0,6
1585,0,20
1586,35,125
1587,316,395
1588,175,225
1589,8,10
1590,0,0
1591,0,0
1592,0,0
1593,0,0
1594,0,0
1595,14,0
1596,8,0
1597,9,0
1598,0,17
1599,0,4
1600,0,0
1601,0,0
1602,0,0
1603,0,0
1604,0,0
1605,0,0
1606,0,0
1607,0,0
1608,0,0
1609,0,0
1610,0,0
1611,20,6
1612,0,0
1613,0,0
1614,0,0
1615,0,0
1616,0,0
1617,0,0
1618,0,0
1619,0,0
1620,0,0
1621,0,0
1622,21,0
1623,0,22
1624,12,156
1625,0,33
1626,9,37
1627,0,0
1628,0,0
1629,0,0
1630,0,0
1631,0,0
1632,0,0
1633,0,0
1634,0,0
1635,0,0
1636,0,19
1637,0,0
1638,0,0
1639,0,0
1640,0,0
1641,0,0
1642,0,0
1643,0,0
1644,0,0
1645,136,91
1646,19,0
1647,4,0
1648,0,0
1649,0,0
1650,0,0
1651,0,0
1652,0,0
1653,0,0
1654,0,0
1655,0,0
1656,0,0
1657,0,0
1658,0,0
1659,0,0
1660,0,0
1661,0,0
1662,0,0
1663,0,0
1664,0,0
1665,0,0
1666,0,0
1667,0,0
1668,0,0
1669,0,0
1670,20,0
1671,0,0
1672,0,0
1673,0,0
1674,0,0
1675,0,0
1676,0,0
1677,0,0
1678,0,0
1679,0,0
1680,0,0
1681,0,0
1682,0,8
1683,0,78
1684,4,0
1685,0,0
1686,0,19
1687,0,135
1688,0,120
1689,0,48
1690,0,0
1691,0,0
1692,0,0
1693,0,0
1694,0,0
1695,0,0
1696,0,0
1697,0,0
1698,0,0
1699,0,0
1700,0,0
1701,0,0
1702,0,0
1703,0,0
1704,0,0
1705,0,0
1706,0,0
1707,0,0
1708,0,0
1709,0,0
1710,0,0
1711,0,0
1712,25,0
1713,0,0
1714,0,0
1715,162,158
1716,22,9
1717,0,0
1718,0,0
1719,220,16
1720,14,52
1721,0,0
1722,0,0
1723,0,0
1724,0,0
1725,0,0
1726,0,15
1727,5,215
1728,35,286
1729,0,203
1730,0,527
1731,36,203
1732,6,382
1733,26,0
1734,4,0
1735,11,0
1736,101,0
1737,231,0
1738,209,0
1739,16,0
1740,0,0
1741,0,0
1742,0,0
1743,0,0
1744,12,0
1745,10,114
1746,0,0
1747,483,862
1748,671,191
1749,821,208
1750,406,44
1751,576,740
1752,415,788
1753,590,573
1754,1223,761
1755,2084,237
1756,1742,1471
1757,1544,431
1758,492,235
1759,496,27
1760,262,266
1761,1978,12
1762,193,0
1763,832,0
1764,231,495
1765,306,745
1766,344,312
1767,1473,561
1768,184,22
1769,400,0
1770,529,5
1771,722,0
1772,695,0
1773,431,218
1774,550,10
1775,79,393
1776,352,427
1777,443,306
1778,215,182
1779,468,83
1780,926,49
1781,226,241
1782,97,146
1783,33,5
1784,383,0
1785,920,0
1786,536,129
1787,212,96
1788,210,478
1789,188,311
1790,413,280
1791,361,371
1792,752,121
1793,388,330
1794,455,257
1795,22,23
1796,0,25
1797,434,4
