time,Aria,Geb
532,137,104
533,188,211
534,178,14
535,167,5
536,258,35
537,104,71
538,69,108
539,50,200
540,133,115
541,411,133
542,436,75
543,234,55
544,332,212
545,268,87
546,266,7
547,236,0
548,310,135
549,353,38
550,469,20
551,500,102
552,61,83
553,58,60
554,114,227
555,1227,358
556,702,146
557,151,152
558,105,95
559,145,52
560,148,29
561,157,71
562,480,166
563,132,565
564,151,21
565,130,84
566,98,32
567,274,14
568,68,57
569,379,33
570,202,51
571,434,16
572,1247,99
573,383,91
574,345,406
575,290,441
576,646,163
577,867,138
578,376,478
579,182,443
580,142,147
581,326,198
582,567,156
583,89,45
584,132,234
585,525,102
586,127,9
587,381,42
588,156,0
589,158,86
590,152,0
591,272,199
592,28,4
593,0,11
594,716,153
595,7,10
596,211,221
597,330,216
598,270,132
599,184,0
600,14,22
601,124,0
602,48,69
603,52,116
604,64,285
605,1019,858
606,1593,484
607,770,404
608,266,184
609,332,131
610,277,83
611,500,123
612,158,140
613,462,233
614,358,337
615,307,205
616,384,225
617,45,12
618,387,46
619,411,18
620,154,138
621,199,357
622,738,228
623,721,0
624,0,5
625,13,188
626,859,476
627,145,156
628,696,33
629,915,273
630,550,0
631,452,360
632,541,612
633,1166,125
634,114,30
635,360,196
636,225,157
637,26,105
638,1124,492
639,55,157
640,313,284
641,696,697
642,761,267
643,1533,917
644,1006,513
645,634,450
646,818,205
647,1017,192
648,1091,298
649,1058,296
650,718,276
651,465,227
652,1383,436
653,467,629
654,545,227
655,391,20
656,336,229
657,492,0
658,442,0
659,447,38
660,393,444
661,370,158
662,735,175
663,453,429
664,1598,454
665,691,401
666,630,157
667,633,254
668,458,163
669,728,5
670,209,121
671,10,533
672,161,371
673,838,72
674,186,224
675,256,172
676,804,428
677,1024,423
678,945,6
679,140,0
680,4,45
681,280,0
682,398,466
683,1540,267
684,662,185
685,225,186
686,778,262
687,47,66
688,412,343
689,906,176
690,816,372
691,1105,215
692,590,306
693,709,427
694,365,367
695,622,160
696,508,119
697,840,194
698,269,167
699,391,155
700,261,130
701,403,52
702,67,0
703,94,0
704,77,0
705,152,0
706,284,82
707,929,0
708,378,36
709,216,91
710,406,117
711,540,138
712,480,149
713,0,240
714,74,411
715,433,16
716,399,0
717,548,204
718,373,42
719,459,44
720,719,61
721,366,15
722,22,39
723,0,0
724,0,0
725,0,14
726,28,248
727,0,635
728,0,0
729,0,73
730,0,172
731,0,0
732,0,31
733,0,49
734,0,9
735,74,0
736,0,28
737,0,34
738,0,217
739,4,183
740,0,200
741,0,0
742,453,39
743,225,144
744,1039,463
745,298,778
746,778,31
747,277,0
748,332,366
749,9,175
750,637,225
751,238,424
752,194,96
753,325,313
754,499,114
755,823,114
756,632,101
757,732,71
758,648,110
759,556,110
760,379,145
761,531,169
762,21,211
763,33,0
764,18,0
765,11,24
766,38,0
767,440,277
768,213,33
769,464,167
770,479,221
771,994,8
772,406,165
773,508,415
774,361,105
775,266,318
776,701,308
777,517,356
778,220,160
779,344,384
780,290,469
781,648,165
782,1180,212
783,110,552
784,128,232
785,31,50
786,714,532
787,707,457
788,301,36
789,196,68
790,214,4
791,569,0
792,652,14
793,36,0
794,105,4
795,403,96
796,362,129
797,662,18
798,318,62
799,760,51
800,660,59
801,619,253
802,290,100
803,291,157
804,571,0
805,476,0
806,99,41
807,45,70
808,194,28
809,73,15
810,81,30
811,76,0
812,620,415
813,544,120
814,903,317
815,379,29
816,627,271
817,186,11
818,257,15
819,285,9
820,48,13
821,74,5
822,27,0
823,29,0
824,6,0
825,0,0
826,0,0
827,4,0
828,0,0
829,0,0
830,49,7
831,21,0
832,12,0
833,0,0
834,0,0
835,15,0
836,0,0
837,0,0
838,16,0
839,0,0
840,0,0
841,81,9
842,39,56
843,0,4
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,82,74
851,487,200
852,388,726
853,350,48
854,305,374
855,410,469
856,506,103
857,371,5
858,20,0
859,249,58
860,41,30
861,68,16
862,383,53
863,471,122
864,61,238
865,34,564
866,262,167
867,186,104
868,181,152
869,161,141
870,240,269
871,512,196
872,524,221
873,63,0
874,79,21
875,128,0
876,131,0
877,45,106
878,73,35
879,74,26
880,438,132
881,21,102
882,304,544
883,122,239
884,223,124
885,556,282
886,1073,674
887,216,121
888,242,61
889,192,35
890,193,10
891,226,168
892,230,313
893,327,169
894,509,205
895,160,64
896,263,33
897,194,41
898,621,105
899,291,219
900,58,51
901,447,199
902,1011,448
903,480,117
904,200,94
905,565,144
906,882,236
907,571,128
908,619,108
909,286,275
910,201,141
911,249,116
912,243,144
913,162,281
914,583,137
915,96,168
916,279,192
917,286,88
918,431,71
919,808,119
920,425,168
921,219,273
922,437,39
923,729,134
924,0,51
925,206,75
926,365,92
927,484,124
928,735,29
929,737,247
930,402,139
931,449,319
932,257,269
933,572,136
934,514,88
935,230,32
936,198,6
937,797,89
938,307,26
939,190,24
940,292,77
941,811,260
942,863,463
943,593,52
944,472,82
945,323,56
946,661,82
947,894,69
948,723,86
949,674,34
950,156,0
951,331,7
952,348,46
953,20,29
954,667,34
955,682,78
956,240,186
957,574,339
958,252,326
959,35,300
960,285,127
961,149,163
962,168,127
963,125,20
964,90,44
965,270,164
966,204,167
967,280,171
968,61,164
969,294,141
970,125,43
971,124,149
972,148,123
973,588,508
974,300,434
975,756,75
976,177,82
977,564,30
978,341,9
979,106,8
980,583,290
981,325,136
982,94,169
983,285,35
984,603,35
985,776,24
986,762,219
987,173,188
988,255,249
989,675,173
990,632,149
991,63,4
992,31,0
993,0,52
994,0,18
995,0,5
996,0,6
997,0,8
998,0,0
999,0,7
1000,0,4
1001,0,5
1002,8,20
1003,0,5
1004,0,0
1005,0,0
1006,0,12
1007,0,0
1008,38,0
1009,0,0
1010,0,0
1011,10,0
1012,0,4
1013,8,4
1014,5,0
1015,0,0
1016,0,0
1017,27,0
1018,34,0
1019,4,0
1020,0,0
1021,4,0
1022,0,0
1023,20,0
1024,493,175
1025,100,96
1026,240,211
1027,203,82
1028,441,26
1029,131,5
1030,96,11
1031,15,4
1032,0,0
1033,0,0
1034,0,0
1035,9,0
1036,0,23
1037,0,19
1038,0,4
1039,15,17
1040,63,267
1041,189,128
1042,335,0
1043,279,38
1044,343,5
1045,255,36
1046,136,187
1047,121,401
1048,446,103
1049,105,89
1050,126,8
1051,362,35
1052,534,453
1053,245,100
1054,318,731
1055,153,32
1056,44,8
1057,326,0
1058,519,199
1059,395,347
1060,108,0
1061,1173,45
1062,168,5
1063,219,39
1064,222,9
1065,5,18
1066,75,71
1067,36,161
1068,517,5
1069,792,162
1070,127,154
1071,211,590
1072,61,96
1073,662,16
1074,853,438
1075,413,126
1076,171,0
1077,81,0
1078,160,21
1079,6,0
1080,0,5
1081,0,0
1082,64,5
1083,7,0
1084,0,0
1085,0,0
1086,17,0
1087,6,5
1088,0,5
1089,12,9
1090,0,0
1091,0,0
1092,0,4
1093,0,0
1094,0,0
1095,0,0
1096,0,8
1097,0,0
1098,0,0
1099,0,0
1100,0,0
1101,5,0
1102,37,0
1103,7,0
1104,0,0
1105,0,65
1106,0,0
1107,0,15
1108,0,4
1109,8,105
1110,4,0
1111,0,0
1112,0,0
1113,0,9
1114,0,0
1115,9,6
1116,0,0
1117,0,0
1118,0,0
1119,22,0
1120,11,0
1121,0,0
1122,0,0
1123,0,0
1124,0,0
1125,0,0
1126,0,0
1127,0,0
1128,0,0
1129,0,0
1130,0,4
1131,0,0
1132,0,0
1133,170,32
1134,260,185
1135,504,24
1136,252,37
1137,23,81
1138,330,30
1139,170,110
1140,494,144
1141,468,399
1142,83,236
1143,275,225
1144,428,104
1145,125,53
1146,206,172
1147,96,32
1148,140,43
1149,281,196
1150,382,213
1151,150,0
1152,583,63
1153,548,156
1154,221,90
1155,186,154
1156,86,33
1157,729,9
1158,303,0
1159,131,9
1160,791,4
1161,572,61
1162,297,69
1163,262,92
1164,367,281
1165,2757,892
1166,2567,916
1167,2241,791
1168,2260,760
1169,943,251
1170,302,249
1171,478,249
1172,427,57
1173,657,55
1174,847,199
1175,366,136
1176,500,286
1177,634,115
1178,429,282
1179,566,320
1180,442,249
1181,456,187
1182,322,58
1183,609,15
1184,253,14
1185,14,545
1186,597,15
1187,130,21
1188,497,107
1189,683,570
1190,1061,658
1191,1548,364
1192,3737,676
1193,1151,286
1194,1252,21
1195,235,11
1196,695,4
1197,508,4
1198,1263,759
1199,318,152
1200,849,79
1201,464,172
1202,460,396
1203,1283,458
1204,2227,295
1205,2369,384
1206,620,298
1207,373,159
1208,469,89
1209,244,21
1210,330,11
1211,385,53
1212,355,78
1213,73,117
1214,248,272
1215,316,117
1216,109,89
1217,933,592
1218,467,367
1219,556,347
1220,1045,296
1221,601,672
1222,709,447
1223,845,563
1224,867,228
1225,316,269
1226,533,50
1227,522,201
1228,2381,617
1229,2279,456
1230,697,628
1231,942,739
1232,271,265
1233,386,118
1234,442,24
1235,441,557
1236,1108,811
1237,1998,867
1238,1908,673
1239,1330,32
1240,1486,81
1241,1528,229
1242,291,548
1243,324,328
1244,322,126
1245,94,277
1246,547,657
1247,1113,602
1248,680,431
1249,317,154
1250,142,323
1251,1890,642
1252,4,28
1253,538,49
1254,400,170
1255,270,25
1256,392,234
1257,39,83
1258,1093,535
1259,541,326
1260,823,578
1261,378,312
1262,319,301
1263,1356,718
1264,1907,748
1265,642,281
1266,994,196
1267,434,20
1268,258,45
1269,67,195
1270,108,42
1271,35,0
1272,10,11
1273,128,112
1274,59,17
1275,109,70
1276,0,0
1277,36,0
1278,0,0
1279,0,96
1280,0,30
1281,0,0
1282,0,0
1283,13,0
1284,0,0
1285,0,0
1286,0,0
1287,18,0
1288,0,0
1289,0,0
1290,0,0
1291,0,0
1292,0,0
1293,0,0
1294,0,0
1295,0,0
1296,0,0
1297,0,0
1298,0,0
1299,0,0
1300,0,0
1301,0,16
1302,0,0
1303,0,0
1304,11,0
1305,6,0
1306,0,4
1307,0,0
1308,0,0
1309,4,0
1310,0,0
1311,302,46
1312,18,5
1313,238,13
1314,0,8
1315,0,0
1316,0,0
1317,0,4
1318,4,7
1319,0,0
1320,0,0
1321,0,0
1322,0,0
1323,0,0
1324,0,0
1325,0,0
1326,0,0
1327,0,0
1328,0,0
1329,0,0
1330,186,19
1331,11,0
1332,0,0
1333,0,33
1334,209,0
1335,6,0
1336,0,0
1337,0,0
1338,0,0
1339,4,0
1340,0,0
1341,4,0
1342,0,0
1343,0,0
1344,0,0
1345,0,0
1346,0,0
1347,0,0
1348,0,0
1349,0,0
1350,0,0
1351,0,0
1352,0,0
1353,0,0
1354,0,0
1355,0,0
1356,0,0
1357,0,0
1358,0,0
1359,0,0
1360,0,0
1361,0,0
1362,0,0
1363,0,0
1364,0,0
1365,0,0
1366,0,0
1367,0,0
1368,0,0
1369,0,0
1370,0,0
1371,29,0
1372,0,0
1373,0,0
1374,4,0
1375,0,0
1376,0,0
1377,0,0
1378,0,0
1379,0,0
1380,0,0
1381,0,0
1382,0,0
1383,0,0
1384,15,0
1385,0,0
1386,0,6
1387,0,0
1388,0,0
1389,0,0
1390,0,0
1391,0,25
1392,0,0
1393,0,0
1394,0,0
1395,0,0
1396,0,0
1397,45,0
1398,0,0
1399,12,0
1400,0,0
1401,0,0
1402,0,0
1403,0,0
1404,0,0
1405,0,0
1406,0,0
1407,0,0
1408,0,0
1409,0,0
1410,27,0
1411,0,0
1412,5,4
1413,0,0
1414,0,0
1415,0,0
1416,0,0
1417,0,0
1418,0,0
1419,22,0
1420,13,0
1421,0,0
1422,0,0
1423,0,0
1424,0,0
1425,0,0
1426,5,0
1427,59,5
1428,0,0
1429,0,0
1430,0,0
1431,0,0
1432,0,0
1433,0,0
1434,0,0
1435,0,0
1436,0,0
1437,0,0
1438,0,0
1439,0,0
1440,0,0
1441,0,0
1442,0,0
1443,0,0
1444,0,0
1445,0,0
1446,0,0
1447,0,0
1448,15,0
1449,0,4
1450,0,0
1451,0,0
1452,0,0
1453,0,0
1454,0,0
1455,0,0
1456,0,0
1457,0,0
1458,0,0
1459,0,0
1460,0,0
1461,0,0
1462,0,0
1463,0,0
1464,0,0
1465,17,0
1466,0,0
1467,0,0
1468,0,0
1469,0,0
1470,0,0
1471,0,0
1472,0,0
1473,0,0
1474,0,0
1475,0,0
1476,0,0
1477,0,0
1478,0,0
1479,0,0
1480,98,0
1481,17,14
1482,18,4
1483,0,0
1484,0,0
1485,0,0
1486,0,0
1487,0,0
1488,0,0
1489,0,0
1490,0,0
1491,10,0
1492,0,0
1493,0,0
1494,0,0
1495,0,0
1496,7,0
1497,8,0
1498,0,0
1499,0,0
1500,0,0
1501,0,0
1502,0,0
1503,0,0
1504,0,0
1505,0,0
1506,0,0
1507,0,0
1508,15,4
1509,19,19
1510,0,0
1511,10,0
1512,0,0
1513,0,0
1514,0,0
1515,0,0
1516,0,0
1517,38,22
1518,0,0
1519,0,0
1520,0,0
1521,0,0
1522,7,0
1523,0,0
1524,0,0
1525,0,0
1526,0,0
1527,0,0
1528,0,0
1529,0,0
1530,0,0
1531,9,10
1532,0,0
1533,0,0
1534,8,24
1535,0,0
1536,0,0
1537,29,5
1538,0,0
1539,0,0
1540,0,0
1541,0,0
1542,0,0
1543,0,0
1544,0,0
1545,0,0
1546,0,0
1547,11,6
1548,0,0
1549,62,18
1550,17,4
1551,0,0
1552,0,0
1553,0,0
1554,0,0
1555,0,0
1556,99,20
1557,0,0
1558,0,0
1559,0,0
1560,0,0
1561,0,0
1562,0,0
1563,0,0
1564,0,0
1565,0,0
1566,0,0
1567,0,0
1568,0,0
1569,0,0
1570,0,0
1571,0,0
1572,0,0
1573,0,0
1574,0,0
1575,0,0
1576,0,0
1577,0,6
1578,0,0
1579,11,0
1580,4,0
1581,0,0
1582,0,0
1583,0,0
1584,8,0
1585,0,0
1586,0,0
1587,0,0
1588,0,0
1589,0,0
1590,0,0
1591,0,0
1592,0,0
1593,0,0
1594,0,0
1595,4,24
1596,4,4
1597,19,48
1598,325,4
1599,81,97
1600,195,349
1601,299,30
1602,374,49
1603,351,176
1604,806,5
1605,250,155
1606,33,348
1607,548,367
1608,343,29
1609,144,63
1610,258,279
1611,63,20
1612,15,10
1613,4,23
1614,166,175
1615,439,293
1616,147,355
1617,219,178
1618,425,160
1619,910,154
1620,67,216
1621,0,289
1622,200,628
1623,288,210
1624,173,499
1625,142,53
1626,423,224
1627,360,129
1628,330,130
1629,153,21
1630,180,42
1631,105,57
1632,156,53
1633,351,162
1634,588,235
1635,612,513
1636,171,47
1637,209,0
1638,350,361
1639,188,500
1640,510,195
1641,218,276
1642,171,136
1643,166,47
1644,348,52
1645,455,123
1646,163,70
1647,331,59
1648,308,207
1649,242,189
1650,454,253
1651,495,386
1652,820,259
1653,325,541
1654,266,294
1655,306,43
1656,923,372
1657,415,324
1658,475,364
1659,578,341
1660,325,240
1661,346,67
1662,454,161
1663,314,12
1664,371,277
1665,222,11
1666,42,0
1667,50,5
1668,0,0
1669,0,0
1670,39,0
1671,5,0
1672,0,0
1673,9,0
1674,0,0
1675,0,0
1676,0,0
1677,0,0
1678,22,10
1679,4,0
1680,36,5
1681,188,111
1682,82,0
1683,155,91
1684,752,340
1685,340,539
1686,28,122
1687,76,114
1688,51,131
1689,0,270
1690,0,4
1691,0,22
1692,0,45
1693,0,165
1694,0,50
1695,0,0
1696,0,0
1697,0,0
1698,0,0
1699,4,0
1700,0,0
1701,0,0
1702,0,0
1703,0,0
1704,0,0
1705,179,21
1706,0,6
1707,0,0
1708,0,0
1709,0,0
1710,0,0
1711,0,0
1712,0,0
1713,14,13
1714,0,0
1715,0,0
1716,0,0
1717,0,0
1718,0,0
1719,0,0
1720,0,0
1721,0,0
1722,0,0
1723,0,0
1724,0,0
1725,0,0
1726,0,0
1727,0,0
1728,15,0
1729,0,0
1730,0,0
1731,0,0
1732,0,0
1733,0,0
1734,0,0
1735,0,0
1736,0,0
1737,22,0
1738,0,0
1739,0,0
1740,0,0
1741,0,0
1742,0,0
1743,4,4
1744,0,0
1745,0,0
1746,0,0
1747,0,0
1748,27,37
1749,114,65
1750,0,0
1751,5,0
1752,0,0
1753,0,0
1754,0,0
1755,0,0
1756,0,0
1757,0,0
1758,0,0
1759,0,0
1760,0,0
1761,0,0
1762,0,0
1763,5,0
1764,0,0
1765,0,0
1766,0,0
1767,0,0
1768,0,4
1769,6,0
1770,0,0
1771,5,6
1772,0,0
1773,0,0
1774,0,0
1775,0,0
1776,0,0
1777,0,0
1778,0,0
1779,33,0
1780,164,57
1781,402,5
1782,139,6
1783,146,259
1784,525,672
1785,390,398
1786,143,308
1787,174,110
1788,569,178
1789,823,126
1790,101,50
1791,762,663
1792,671,238
1793,360,216
1794,153,354
1795,212,387
1796,548,156
1797,611,519
1798,437,269
1799,356,577
1800,6,365
1801,93,233
1802,470,38
1803,294,168
1804,349,140
1805,184,105
1806,230,9
1807,777,598
1808,766,320
1809,581,4
1810,167,0
1811,139,0
1812,578,13
1813,487,441
1814,431,227
1815,1310,203
1816,1024,489
1817,296,884
1818,603,528
1819,764,521
1820,808,608
1821,593,429
1822,93,628
1823,763,399
1824,1287,796
1825,182,833
1826,503,502
1827,878,611
1828,992,487
1829,155,140
1830,1482,571
1831,1010,690
1832,282,237
1833,796,584
1834,435,592
1835,634,757
1836,166,564
1837,208,746
1838,63,682
1839,378,562
1840,295,548
1841,553,561
1842,795,750
1843,584,483
1844,160,320
1845,142,522
1846,115,781
1847,567,590
1848,212,507
1849,216,875
1850,290,188
1851,199,158
1852,230,419
1853,684,712
1854,306,127
1855,430,142
1856,340,114
1857,89,581
1858,687,128
1859,584,347
1860,222,507
1861,220,557
1862,522,316
1863,872,689
1864,720,506
1865,239,36
1866,222,22
1867,291,4
1868,54,0
1869,342,0
1870,15,4
1871,15,0
1872,212,26
1873,400,4
1874,222,0
1875,159,9
1876,213,0
1877,190,465
1878,51,11
1879,353,5
1880,1054,598
1881,589,485
1882,420,361
1883,418,58
1884,28,21
1885,167,4
1886,18,10
1887,0,0
1888,0,0
1889,0,0
1890,17,4
1891,7,0
1892,0,0
1893,0,0
1894,0,0
1895,10,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,4
1902,315,255
1903,795,709
1904,74,253
1905,757,875
1906,134,986
1907,1022,1343
1908,22,721
1909,208,256
1910,780,857
1911,611,636
1912,664,608
1913,860,335
1914,919,417
1915,477,165
1916,649,365
1917,474,134
1918,273,265
1919,299,5
1920,179,0
1921,307,130
1922,330,280
1923,105,63
1924,450,621
1925,19,33
1926,0,36
1927,296,334
1928,610,138
1929,1182,137
1930,168,119
1931,72,88
1932,594,661
1933,736,509
1934,946,629
1935,343,555
1936,488,355
1937,680,145
1938,886,264
1939,393,399
1940,38,298
1941,1185,657
1942,1219,132
1943,730,586
1944,158,96
1945,674,280
1946,457,721
1947,927,599
1948,883,675
1949,13,262
1950,673,339
1951,336,205
1952,350,42
1953,49,480
1954,391,398
1955,527,396
1956,304,174
1957,267,316
1958,229,40
1959,0,0
1960,819,477
1961,581,285
1962,392,58
1963,82,147
1964,1142,694
1965,869,389
1966,677,423
1967,675,178
1968,584,268
1969,1032,636
1970,101,223
1971,90,137
1972,323,216
1973,308,73
1974,238,218
1975,159,339
1976,27,119
1977,725,132
1978,565,72
1979,467,29
1980,265,389
1981,150,13
1982,86,80
1983,160,263
1984,667,173
1985,68,155
1986,249,159
1987,206,158
1988,32,257
1989,24,89
1990,187,341
1991,35,113
1992,318,420
1993,250,216
1994,50,379
1995,950,207
1996,362,414
1997,39,15
1998,119,530
1999,244,620
2000,145,45
2001,345,271
2002,56,170
2003,51,150
2004,65,183
2005,10,35
2006,236,49
2007,52,15
2008,199,755
2009,565,141
2010,0,6
2011,369,548
2012,1179,730
2013,360,53
2014,209,38
2015,15,4
2016,179,0
2017,32,328
2018,52,234
2019,279,138
2020,284,460
2021,127,222
2022,223,80
2023,15,435
2024,254,688
2025,73,359
2026,30,295
2027,672,160
2028,101,11
2029,36,0
2030,568,190
2031,468,580
2032,533,105
2033,581,128
2034,354,237
2035,214,846
2036,250,294
2037,120,182
2038,505,340
2039,112,257
2040,193,117
2041,378,8
2042,94,60
2043,351,672
2044,543,531
2045,912,443
2046,170,261
2047,141,147
2048,556,154
2049,225,28
2050,104,5
2051,32,0
2052,138,0
2053,1283,14
2054,200,409
2055,229,482
2056,297,120
2057,934,723
2058,1144,375
2059,685,316
2060,910,469
2061,822,224
2062,301,797
2063,680,488
2064,752,651
2065,407,416
2066,351,367
2067,1085,342
2068,668,288
2069,768,263
2070,434,285
2071,317,266
2072,920,881
2073,1045,323
2074,851,307
2075,386,222
2076,848,473
2077,513,371
2078,332,116
2079,359,217
2080,288,479
2081,697,293
2082,1240,436
2083,595,522
2084,219,52
2085,17,93
2086,982,18
2087,275,0
2088,9,0
2089,101,182
2090,129,68
2091,4,447
2092,1017,569
2093,932,467
2094,343,477
2095,364,306
2096,180,6
2097,449,39
2098,105,48
2099,162,13
2100,118,0
2101,128,33
2102,326,155
2103,416,496
2104,628,261
2105,186,369
2106,343,207
2107,563,76
2108,133,32
2109,127,77
2110,154,36
2111,45,0
2112,642,37
2113,182,58
2114,47,284
2115,386,9
2116,12,64
2117,228,250
2118,454,666
2119,179,340
2120,129,20
2121,563,272
2122,0,16
2123,7,11
2124,505,431
2125,265,418
2126,107,281
2127,692,650
